pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,pl_radj,pl_eqt,st_teff,st_rad,st_mass,sy_dist
"TOI-5817 b","TOI-5817","Transit",2025,15.61031000000,0.1223000000,0.03240742,0.27477967,950.00,5770.00,1.427000,0.970000,80.75420000
"HD 10975 b","HD 10975","Radial Velocity",2021,283.80000000000,0.9500000000,0.45000000,,,4840.00,11.160000,1.410000,116.50600000
"Kepler-1126 c","Kepler-1126","Transit",2023,199.66876000000,0.6193000000,,0.12936056,305.00,5678.00,0.921000,0.794000,635.73600000
"Kepler-970 b","Kepler-970","Transit",2016,16.73652500000,0.1390000000,,0.23275979,,4290.00,0.710000,0.670000,331.54500000
"WASP-8 c","WASP-8","Radial Velocity",2013,4323.00000000000,5.2800000000,9.45000000,,,,,1.040000,89.96060000
"Kepler-1993 b","Kepler-1993","Transit",2023,26.65657370000,0.1943000000,,0.37023884,903.00,5159.00,3.062000,1.373000,1031.91000000
"K2-390 b","K2-390","Transit",2022,3.31279200000,,,0.41591650,,5558.00,0.966000,0.789000,456.12200000
"TOI-5344 b","TOI-5344","Transit",2023,3.79262200000,0.0404100000,0.41200000,0.94600000,689.00,3747.00,0.588000,0.612000,138.36700000
"HD 62364 b","HD 62364","Radial Velocity",2022,5138.00000000000,6.1500000000,18.77000000,,,6255.00,1.401000,1.157000,53.11200000
"K2-368 c","K2-368","Transit",2022,9.66018600000,,,0.12142050,,4663.00,0.663000,0.746000,206.60800000
"HD 134606 c","HD 134606","Radial Velocity",2024,58.88300000000,0.3007000000,0.03558524,,,5576.00,1.158000,1.046000,26.79090000
"WASP-132 c","WASP-132","Transit",2022,1.01153624000,0.0183300000,0.01969616,0.16424330,1329.00,4686.00,0.758000,0.789000,122.91000000
"HD 136352 d","HD 136352","Radial Velocity",2019,107.24500000000,0.4250000000,0.02775082,0.22856672,431.00,5664.00,1.058000,0.870000,14.68200000
"K2-350 c","K2-350","Transit",2016,19.99194400000,,,0.24444685,687.00,5789.00,1.040000,0.980000,489.36800000
"KMT-2022-BLG-0440L b","KMT-2022-BLG-0440L","Microlensing",2023,,1.9000000000,0.04845382,,,,,0.530000,3500.00000000
"TIC 393818343 b","TIC 393818343","Transit",2024,16.24921000000,0.1291000000,4.34000000,1.08700000,805.50,5756.00,1.086000,1.082000,93.73450000
"TOI-1744.01","TOI-1744","Transit",2024,22.34170292700,0.1640860000,,0.23909400,,6179.00,1.140000,1.180000,114.39000000
"TOI-1260 c","TOI-1260","Transit",2021,7.49313400000,0.0657000000,0.04153184,0.24623113,651.00,4227.00,0.672000,0.679000,73.59770000
"Kepler-1995 b","Kepler-1995","Transit",2023,73.75788750000,0.3259000000,,0.38183668,375.00,5029.00,0.930000,0.847000,595.33100000
"HD 23472 e","HD 23472","Transit",2022,7.90754000000,0.0680000000,0.00226537,0.07297720,723.00,4684.00,0.710000,0.670000,39.03410000
"TOI-5882 b","TOI-5882","Transit",2025,7.14897200000,0.0804000000,22.01000000,1.02300000,1515.00,5920.00,2.260000,1.334000,416.10400000
"HD 97658 b","HD 97658","Radial Velocity",2010,9.48971160000,,0.02611472,0.18913406,751.00,5212.00,0.728000,0.850000,21.56180000
"TOI-700 c","TOI-700","Transit",2020,16.05113700000,0.0929000000,,0.23195686,,3459.00,0.421000,0.415000,31.12650000
"TOI-5678 b","TOI-5678","Transit",2023,47.73022000000,0.2490000000,0.06292704,0.43804161,513.00,5485.00,0.938000,0.905000,165.39300000
"TOI-4638.01","TOI-4638","Transit",2024,10.28391878700,0.0930130000,,0.26166518,,5700.00,0.895000,1.020000,168.24800000
"TOI-1859 b","TOI-1859","Transit",2023,63.48347000000,0.3370000000,,0.87000000,,6341.00,1.360000,1.287000,224.38500000
"GJ 508.2 b","GJ 508.2","Radial Velocity",2025,5300.00000000000,4.8500000000,1.85000000,,,3720.00,0.530000,0.540000,16.63740000
"TYC 8998-760-1 c","TYC 8998-760-1","Imaging",2020,,320.0000000000,6.00000000,1.10000000,1240.00,,,1.000000,94.61770000
"NGTS-34 b","NGTS-34","Transit",2025,43.12655000000,0.2570000000,0.06009532,0.32563175,624.00,6134.00,1.367000,1.266000,120.47500000
"K2-419 A b","K2-419 A","Transit",2024,20.35847252000,0.1208000000,0.61700000,0.94100000,377.00,3711.00,0.541000,0.562000,268.68500000
"K2-352 d","K2-352","Transit",2021,14.87138700000,,,0.19894762,727.00,5791.00,0.950000,0.980000,176.05100000
"GJ 1151 c","GJ 1151","Radial Velocity",2023,389.70000000000,0.5714000000,0.03341426,,,3280.00,0.178100,0.163900,8.03625000
"Kepler-2000 c","Kepler-2000","Transit",2023,20.61803480000,0.1228000000,,0.14006626,359.00,3757.00,0.576000,0.581000,320.58800000
"Kepler-462 b","Kepler-462","Transit",2016,84.68660000000,,0.16958752,0.26764207,,7500.00,1.570000,1.590000,596.62500000
"TOI-6041 c","TOI-6041","Radial Velocity",2025,88.00000000000,0.3721000000,0.24510081,,403.50,5445.00,0.879000,0.885000,72.47310000
"TOI-3629 b","TOI-3629","Transit",2022,3.93655100000,0.0430000000,0.26000000,0.74000000,690.00,3870.00,0.600000,0.630000,130.09100000
"K2-408 b","K2-408","Transit",2022,20.97895900000,,,0.14961218,,5335.00,0.784000,0.813000,162.30600000
"K2-371 b","K2-371","Transit",2022,3.11490500000,,,1.16192546,,4925.00,0.736000,0.958000,442.81300000
"Kepler-1643 b","Kepler-1643","Transit",2016,5.34265700000,,,0.20700000,,4916.00,0.855000,0.845000,341.77400000
"TOI-2525 b","TOI-2525","Transit",2023,23.28560000000,0.1511000000,0.08400000,0.77400000,,5096.00,0.785000,0.849000,395.39800000
"14 Her b","14 Her","Radial Velocity",2002,,2.8390000000,8.90000000,,,,,0.970000,17.93230000
"TOI-5489 c","TOI-5489","Transit",2025,4.92126000000,,,0.11419415,536.00,3547.00,0.420000,0.410000,45.09070000
"TOI-1136 c","TOI-1136","Transit",2022,6.25740000000,0.0669000000,0.01988494,,1062.00,5770.00,0.968000,1.022000,84.53620000
"K2-157 d","K2-157","Radial Velocity",2025,66.50000000000,0.3090000000,0.07320000,,429.10,5334.00,0.860000,0.890000,298.37300000
"WASP-107 b","WASP-107","Transit",2017,5.72148760000,,0.09600000,,,,,,64.74140000
"K2-389 b","K2-389","Transit",2022,8.58289000000,,,0.20786903,932.00,5773.00,1.094000,0.990000,259.20800000
"HD 63433 b","HD 63433","Transit",2020,7.10794750000,,0.06844888,0.19100000,967.11,5553.00,0.934000,0.956000,22.40350000
"HD 104985 b","HD 104985","Radial Velocity",2003,199.68000000000,0.7150000000,5.55900000,,,4738.00,11.120000,1.220000,100.57600000
"GJ 367 c","GJ 367","Radial Velocity",2023,11.53010000000,,0.01299443,,,3522.00,0.458000,0.455000,9.41263000
"TOI-2154 b","TOI-2154","Transit",2023,3.82408010000,0.0513000000,0.92000000,1.45300000,1580.00,6280.00,1.396000,1.233000,296.46000000
"TOI-1853 b","TOI-1853","Transit",2023,1.24362580000,0.0213000000,0.23031296,0.30868106,1479.00,4985.00,0.808000,0.837000,165.10500000
"Kepler-952 b","Kepler-952","Transit",2016,130.35469190000,,,0.68248729,,5730.00,0.990000,1.000000,1304.25000000
"Gl 725 A b","Gl 725 A","Radial Velocity",2025,11.22010000000,0.0680000000,0.00874686,,,3433.00,0.351000,0.330000,3.52140000
"TIC 245076932 b","TIC 245076932","Transit",2026,21.61389000000,0.1570000000,0.51000000,0.97000000,845.00,6130.00,1.288000,1.117000,303.96000000
"HIP 29442 d","TOI-469","Radial Velocity",2023,6.42957500000,0.0673000000,0.01617225,0.13721141,920.00,5289.00,0.980000,0.901000,68.19200000
"K2-376 b","K2-376","Transit",2022,5.77647500000,,,0.15487581,,5937.00,1.149000,0.908000,161.61000000
"GJ 680 b","GJ 680","Radial Velocity",2022,17281.66514000000,10.1380000000,25.10000000,,,,,0.456000,9.67315000
"TOI-286 b","TOI-286","Transit",2024,4.51172440000,0.0503000000,0.01425297,0.12668413,979.00,5152.00,0.780000,0.832000,59.22930000
"TOI-2000 c","TOI-2000","Transit",2023,9.12705500000,0.0878000000,0.25700000,0.72700000,1038.00,5611.00,1.134000,1.082000,175.71300000
"K2-329 b","K2-329","Transit",2020,12.45512250000,0.1016000000,0.26000000,0.77400000,650.00,5282.00,0.822000,0.901000,233.23700000
"Kepler-409 b","Kepler-409","Transit",2014,68.95832160000,0.3192000000,0.01887811,0.10696780,438.00,5421.00,0.897000,0.913000,68.17300000
"K2-386 b","K2-386","Transit",2022,7.47322300000,,,0.20697689,,5749.00,0.970000,0.911000,428.78500000
"TOI-1136 b","TOI-1136","Transit",2022,4.17270000000,0.0510600000,0.01101223,,1216.00,5770.00,0.968000,1.022000,84.53620000
"TOI-521 b","TOI-521","Transit",2025,1.54285047000,0.0195000000,0.01667566,0.17664407,794.00,3544.00,0.421000,0.420000,60.94250000
"TOI-5386 A b","TOI-5386 A","Transit",2025,3.62156552000,0.0485600000,0.48800000,1.31200000,1488.00,6094.00,1.245000,1.165000,394.48600000
"HD 181433 d","HD 181433","Radial Velocity",2008,6896.10000000000,6.7400000000,0.65101166,,,,,0.860000,26.87620000
"HD 136352 b","HD 136352","Radial Velocity",2019,11.57797000000,0.0964000000,0.01485078,0.14845239,905.00,5664.00,1.058000,0.870000,14.68200000
"HD 114783 b","HD 114783","Radial Velocity",2001,493.70000000000,1.1600000000,1.10000000,,,5135.00,,0.853000,21.06280000
"HD 99706 c","HD 99706","Radial Velocity",2016,1278.00000000000,,5.69000000,,,,,1.720000,146.60000000
"HD 102329 c","HD 102329","Radial Velocity",2016,1123.00000000000,,1.52000000,,,,,1.300000,217.10700000
"HD 116029 c","HD 116029","Radial Velocity",2016,907.00000000000,,1.27000000,,,,,1.330000,123.24500000
"HD 95089 c","HD 95089","Radial Velocity",2016,1785.00000000000,3.3300000000,3.45000000,,,4918.00,5.080000,1.540000,136.95700000
"K2-382 b","K2-382","Transit",2022,21.70015600000,,,0.18485178,,5452.00,0.811000,0.922000,278.41200000
"TOI-1669 b","TOI-1669","Radial Velocity",2023,500.00000000000,1.2700000000,0.60095321,,,5497.00,1.056100,0.986700,111.27600000
"WASP-139 b","WASP-139","Transit",2016,5.92426200000,0.0620000000,0.11700000,0.80000000,910.00,5310.00,0.800000,0.920000,212.47200000
"K2-352 b","K2-352","Transit",2021,3.66591200000,,,0.12222342,1160.00,5791.00,0.950000,0.980000,176.05100000
"WASP-107 c","WASP-107","Radial Velocity",2020,1066.00000000000,,0.35000000,,,,,,64.74140000
"TOI-277 b","TOI-277","Transit",2022,3.99400000000,0.0269000000,,0.23641757,,4031.00,0.362000,0.160000,64.66920000
"Kepler-1814 c","Kepler-1814","Transit",2023,0.62628176600,0.0133000000,,0.15701695,1711.00,4922.00,0.823000,0.790000,726.34600000
"HD 143361 b","HD 143361","Radial Velocity",2008,1039.15000000000,1.9880000000,3.53200000,,,5507.00,0.916000,0.968000,68.51460000
"TOI-481 b","TOI-481","Transit",2020,10.33111000000,0.0970000000,1.53000000,0.99000000,1370.00,5735.00,1.660000,1.140000,179.36600000
"KOI-1831 d","Kepler-324","Transit",2018,34.16900000000,,0.00701636,0.10081202,475.00,5233.00,0.835000,0.901000,501.57400000
"Kepler-324 e","Kepler-324","Transit",2021,13.97939968000,,,0.18187420,,5191.00,0.826000,0.844000,501.57400000
"HD 33142 d","HD 33142","Radial Velocity",2022,89.90000000000,0.4520000000,0.20000000,,,5025.40,4.170000,1.520000,121.37500000
"HD 156279 c","HD 156279","Radial Velocity",2016,4818.25358000000,5.4860000000,9.75000000,,,,,0.940000,36.19450000
"HD 114783 c","HD 114783","Radial Velocity",2016,4352.00000000000,5.0000000000,1.90000000,,,,,0.900000,21.06280000
"TOI-1782.01","TOI-1782","Transit",2024,4.98764102800,0.0502400000,,0.21125917,,4336.00,0.669000,0.680000,95.26490000
"TOI-4465 b","TOI-4465","Transit",2025,101.94054000000,0.4160000000,5.89000000,1.25000000,427.00,5545.00,1.014000,0.930000,121.13900000
"HD 135344 A b","HD 135344 A","Imaging",2025,,16.5000000000,10.00000000,1.45000000,1585.00,9540.00,1.500000,,141.59500000
"GJ 317 b","GJ 317","Radial Velocity",2007,695.69000000000,1.1380000000,1.68800000,,,3496.00,0.403000,0.402000,15.19680000
"GJ 317 c","GJ 317","Radial Velocity",2016,6500.00000000000,5.0400000000,1.43000000,,,3496.00,0.403000,0.402000,15.19680000
"HD 95338 b","HD 95338","Radial Velocity",2020,55.08269400000,,,0.38110000,,5097.00,0.868000,0.848000,36.99410000
"eps Ind A b","eps Ind A","Radial Velocity",2019,39400.00000000000,20.9000000000,7.63000000,,,,,0.781000,3.63857000
"K2-370 b","K2-370","Transit",2022,2.14080930000,0.0321000000,0.03492451,0.23820186,,5662.00,0.945000,0.962000,144.20200000
"2MASS J0249-0557 c","2MASS J0249-0557 A","Imaging",2018,,,11.38000000,1.55000000,1723.00,,,0.046000,66.06130000
"HD 167042 b","HD 167042","Radial Velocity",2007,417.67000000000,1.2200000000,1.39700000,,,4919.00,4.630000,1.390000,49.66330000
"TOI-2537 b","TOI-2537","Transit",2024,94.10220000000,0.3715000000,1.30700000,1.00400000,338.00,4870.00,0.771000,0.771000,184.98600000
"TOI-1386 c","TOI-1386","Radial Velocity",2024,232.00000000000,0.7500000000,0.23660566,,,5735.00,1.023500,1.036300,146.85800000
"Kepler-1989 b","Kepler-1989","Transit",2023,10.16102352800,0.0918000000,,0.41216950,904.00,6032.00,1.060000,0.999000,1252.13000000
"K2-377 b","K2-377","Transit",2022,12.83223500000,,,0.15103960,,4200.00,0.691000,0.821000,195.14900000
"WASP-11 b","WASP-11","Transit",2008,3.72247000000,,0.79000000,1.11000000,,4800.00,0.890000,1.420000,124.73000000
"SPECULOOS-3 b","SPECULOOS-3","Transit",2024,0.71912603000,0.0073300000,,0.08716225,553.00,2800.00,0.123000,0.100900,
"K2-393 b","K2-393","Transit",2022,10.41318100000,,,0.20983175,,5678.00,1.071000,0.881000,265.91400000
"K2-136 b","K2-136","Transit",2017,7.97520000000,0.0707000000,0.01352931,0.09046318,610.00,4500.00,0.677000,0.742000,59.24740000
"Kepler-102 e","Kepler-102","Transit",2013,16.14569940000,0.1162000000,0.01478785,0.19359477,590.00,4909.00,0.724000,0.803000,107.79600000
"K2-407 b","K2-407","Transit",2022,4.94190700000,,,0.11446179,,5563.00,0.927000,0.881000,218.37600000
"K2-381 d","K2-381","Transit",2022,26.80302300000,,,0.15068275,,4473.00,0.675000,0.754000,145.70100000
"HD 63433 d","HD 63433","Transit",2023,4.20907500000,0.0503000000,,0.09572681,1040.00,5688.00,0.912000,0.990000,22.40350000
"TOI-2986 b","TOI-2986","Transit",2025,3.27836620000,0.0448900000,0.30400000,0.82900000,1622.00,5906.00,1.458000,1.122000,563.14900000
"TOI-6054.01","TOI-6054","Transit",2024,7.50142800000,0.0763000000,0.03932940,0.23552543,1360.00,6047.00,1.662000,1.107000,79.40700000
"Kepler-51 d","Kepler-51","Transit",2014,130.19400000000,0.5090000000,0.02400000,0.86500000,381.00,6018.00,0.940000,1.040000,783.83100000
"Kepler-62 b","Kepler-62","Transit",2013,5.71493200000,0.0553000000,0.03000000,0.11700000,750.00,4925.00,0.640000,0.690000,300.87400000
"Kepler-62 d","Kepler-62","Transit",2013,18.16406000000,0.1200000000,0.04400000,0.17400000,510.00,4925.00,0.640000,0.690000,300.87400000
"Kepler-62 c","Kepler-62","Transit",2013,12.44170000000,0.0929000000,0.01300000,0.04800000,578.00,4925.00,0.640000,0.690000,300.87400000
"Kepler-62 f","Kepler-62","Transit",2013,267.29100000000,0.7180000000,0.11000000,0.12600000,208.00,4925.00,0.640000,0.690000,300.87400000
"DE CVn b","DE CVn","Eclipse Timing Variations",2018,4098.10000000000,5.7500000000,12.02930278,,,,,0.510000,30.52250000
"Kepler-1987 e","Kepler-1987","Transit",2023,8.74292005000,0.0765000000,,0.17129122,643.00,4769.00,0.714000,0.799000,595.68300000
"HD 79181 b","HD 79181","Radial Velocity",2021,273.10000000000,0.9000000000,0.64000000,,,4862.00,11.060000,1.280000,103.33500000
"NY Vir b","NY Vir","Eclipse Timing Variations",2011,3160.00000000000,,2.66000000,,,32780.00,0.151000,0.459000,544.02400000
"HD 168863 b","HD 168863","Radial Velocity",2022,14773.93272000000,10.9610000000,6.78000000,,,,,0.800000,39.89790000
"K2-389 c","K2-389","Transit",2022,20.85133700000,,,0.18199692,,5782.00,1.084000,0.802000,259.20800000
"CFHTWIR-Oph 98 b","CFHTWIR-Oph 98 A","Imaging",2020,8040000.00000000000,200.0000000000,7.80000000,1.86000000,1800.00,2320.00,0.245000,0.014700,
"iot Dra b","iot Dra","Radial Velocity",2002,510.85440000000,1.4530000000,11.82000000,,,4504.00,11.790000,1.540000,31.32832000
"iot Dra c","iot Dra","Radial Velocity",2021,25000.00000000000,19.4000000000,15.60000000,,,4504.00,11.790000,1.540000,31.32832000
"HD 260655 b","HD 260655","Transit",2022,2.76953000000,0.0293300000,0.00673319,0.11062558,709.00,3803.00,0.439000,0.439000,10.00550000
"TOI-7384 b","TOI-7384","Transit",2026,6.23402580000,0.0439000000,,0.31800000,378.00,3185.00,0.319000,0.318000,66.79020000
"Kepler-347 d","Kepler-347","Transit",2023,85.51734400000,0.3802000000,,0.27121110,482.00,5592.00,1.451000,1.000000,1298.88000000
"NN Ser d","NN Ser","Eclipse Timing Variations",2010,2880.00000000000,,2.19000000,,,,,0.535000,515.81800000
"HAT-P-1 b","HAT-P-1","Transit",2006,4.46529976000,0.0556100000,0.52500000,1.31900000,1322.00,5980.00,1.174000,1.151000,158.97900000
"Kepler-1998 b","Kepler-1998","Transit",2023,3.03267135000,0.0405000000,,0.05352851,1187.00,5640.00,0.921000,0.962000,340.96500000
"HIP 8541 b","HIP 8541","Radial Velocity",2016,1852.14387000000,3.7290000000,7.71400000,,,,,2.009000,155.12100000
"Kepler-2000 b","Kepler-2000","Transit",2023,6.38315913500,0.0562000000,,0.24355471,530.00,3757.00,0.576000,0.581000,320.58800000
"HD 110067 d","HD 110067","Transit",2023,20.51961700000,0.1362000000,0.02680692,0.25443884,602.00,5266.00,0.788000,0.798000,32.15850000
"K2-384 f","K2-384","Transit",2022,13.62749000000,,,0.19823390,,3623.00,0.348000,0.330000,82.66030000
"TOI-5799 c","TOI-5799","Transit",2025,14.01044900000,0.0782000000,,0.15701695,337.00,3452.00,0.321000,0.325000,27.81230000
"CoRoT-7 d","CoRoT-7","Radial Velocity",2022,8.96600000000,,0.05393476,,,5250.00,,0.915000,159.90600000
"HD 13808 c","HD 13808","Radial Velocity",2021,53.75300000000,0.2554000000,0.03133751,,,5035.00,0.781000,0.771000,28.23050000
"TOI-6692 b","TOI-6692","Transit",2026,131.12500000000,0.5120000000,0.62000000,1.04200000,467.00,5890.00,1.385000,1.047000,312.90300000
"TOI-1820 b","TOI-1820","Transit",2022,4.86067400000,0.0610000000,2.30000000,1.14000000,1375.00,5734.00,1.510000,1.040000,248.50400000
"TOI-3682 b","TOI-3682","Transit",2025,3.34624060000,0.0480000000,0.21800000,1.14200000,1657.00,5703.00,1.735000,1.320000,404.21100000
"TOI-1136 g","TOI-1136","Transit",2022,39.54500000000,0.2290000000,0.01761957,,574.00,5770.00,0.968000,1.022000,84.53620000
"TOI-2498 b","TOI-2498","Transit",2023,3.73825200000,0.0491000000,0.10892670,0.54063792,1443.00,5905.00,1.260000,1.120000,275.26500000
"K2-330 b","K2-330","Transit",2021,13.77479800000,,,0.24712327,969.00,6232.00,1.500000,1.230000,160.12500000
"KOI-4978 b","KOI-4978","Transit",2024,0.94196700000,,,0.06244992,,5050.28,0.966000,0.859000,936.34100000
"TOI-1260 d","TOI-1260","Transit",2022,16.60816400000,0.1116000000,0.03725281,0.27834824,499.00,4227.00,0.672000,0.679000,73.59770000
"Kepler-93 c","Kepler-93","Radial Velocity",2014,1460.00000000000,,3.00000000,,,5669.00,0.920000,0.910000,95.91150000
"tau Cet g","tau Cet","Radial Velocity",2017,20.00000000000,0.1330000000,0.00550609,,,,,0.783000,3.60304000
"tau Cet h","tau Cet","Radial Velocity",2017,49.41000000000,0.2430000000,0.00575780,,,,,0.783000,3.60304000
"tau Cet f","tau Cet","Radial Velocity",2017,636.13000000000,1.3340000000,0.01236510,,,,,0.783000,3.60304000
"LHS 1140 b","LHS 1140","Transit",2017,24.73723000000,0.0946000000,0.01761957,0.15434053,226.00,3096.00,0.215900,0.184400,14.98610000
"LHS 1140 c","LHS 1140","Transit",2018,3.77794000000,0.0270000000,0.00600953,0.11348043,422.00,3096.00,0.215900,0.184400,14.98610000
"Kepler-51 e","Kepler-51","Transit Timing Variations",2024,264.28400000000,,0.01699030,,,5674.00,0.870000,0.960000,783.83100000
"K2-405 b","K2-405","Transit",2022,3.43547100000,,,0.40761958,,4927.00,0.765000,1.034000,197.23400000
"KMT-2024-BLG-1281L b","KMT-2024-BLG-1281L","Microlensing",2025,,1.9600000000,0.06000000,,,,,0.320000,7180.00000000
"TOI-406 c","TOI-406","Transit",2024,3.30744100000,0.0322000000,0.00654441,0.11776272,584.00,3392.00,0.410000,0.408000,31.05970000
"TOI-270 b","TOI-270","Transit",2019,3.35992000000,,0.00465660,0.11419415,600.00,3506.00,0.380000,0.386000,22.47930000
"TOI-270 c","TOI-270","Transit",2019,5.66051000000,,0.01950738,0.20786903,489.00,3506.00,0.380000,0.386000,22.47930000
"HD 206893 b","HD 206893","Imaging",2021,11100.00000000000,10.7500000000,19.50000000,,,,,1.310000,40.75830000
"HD 206893 c","HD 206893","Imaging",2022,2290.00000000000,3.7400000000,11.10000000,,,,,1.310000,40.75830000
"CWISEP J193518.59-154620.3 b","CWISEP J193518.59-154620.3","Imaging",2025,,2.4800000000,15.50000000,,390.00,,,0.024000,14.43000000
"K2-133 b","K2-133","Transit",2017,3.07133000000,0.0319400000,,0.11954679,,3655.00,0.455000,0.461000,75.17030000
"WASP-36 b","WASP-36","Transit",2011,1.53736596000,0.0267700000,2.36100000,1.32700000,1733.00,5959.00,0.985000,1.081000,386.34600000
"WASP-104 b","WASP-104","Transit",2014,1.75541370000,0.0291800000,1.27200000,1.13700000,1516.00,5475.00,0.963000,1.076000,185.93200000
"HAT-P-35 b","HAT-P-35","Transit",2011,3.64670600000,0.0497800000,1.05600000,1.33200000,,6096.00,1.435000,1.236000,506.96500000
"Kepler-1208 b","Kepler-1208","Transit",2016,11.08507637000,,,0.20697654,,5001.00,0.760000,0.800000,825.17600000
"TOI-5938 b","TOI-5938","Transit",2026,2.26042400000,0.0308000000,,0.34079816,1077.00,4650.00,0.712000,0.744000,114.03500000
"TOI-7009 b","TOI-7009","Transit",2026,2.32066120000,0.0287000000,,0.33098460,872.00,4080.00,0.564000,0.583000,184.12000000
"KMT-2024-BLG-0349L b","KMT-2024-BLG-0349L","Microlensing",2026,,6.4600000000,11.86000000,,,,,0.680000,5750.00000000
"HD 164604 c","HD 164604","Radial Velocity",2026,5387.00000000000,5.5560000000,9.50000000,,,4663.00,0.780000,0.770000,39.36330000
"HD 86226 c","HD 86226","Transit",2020,3.98442000000,0.0490000000,0.02281094,0.19270229,1311.00,5863.00,1.053000,1.019000,45.68300000
"V1298 Tau b","V1298 Tau","Transit",2019,24.14000600000,0.1685000000,0.04121721,0.83950542,666.00,4970.00,1.320000,1.100000,108.19900000
"HD 28185 b","HD 28185","Radial Velocity",2001,385.92000000000,1.0340000000,5.85000000,,,5602.00,1.048000,0.974000,39.38090000
"51 Eri b","51 Eri","Imaging",2015,9100.00000000000,10.4000000000,10.90000000,,,,,1.750000,29.75750000
"K2-290 b","K2-290","Transit",2019,9.21165000000,0.0923000000,0.03429506,0.27299491,1230.00,6302.00,1.511000,1.194000,272.90900000
"TOI-375 d","TOI-375","Radial Velocity",2026,297.90000000000,0.9840000000,1.40200000,,434.00,5259.90,2.900000,1.441000,396.21300000
"LHS 1903 b","LHS 1903","Transit",2026,2.15550980000,0.0265600000,0.01032003,0.12329399,796.00,3664.00,0.539000,0.538000,35.69170000
"HD 208487 b","HD 208487","Radial Velocity",2004,129.36000000000,0.5300000000,0.46000000,,,6134.00,1.160000,1.150000,45.14700000
"K2-199 b","K2-199","Transit",2018,3.22539930000,0.0382000000,0.02170983,0.15434053,913.00,4491.00,0.682000,0.711000,107.51800000
"WASP-131 b","WASP-131","Transit",2016,5.32201250000,0.0608000000,0.27300000,1.22600000,,5990.00,1.561000,1.060000,200.07500000
"LTT 3780 b","LTT 3780","Transit",2020,0.76837931000,0.0119500000,0.00774003,0.11820879,903.00,3358.00,0.380000,0.381000,21.98140000
"LTT 3780 c","LTT 3780","Transit",2020,12.25228400000,0.0757000000,0.02529667,0.21322189,359.00,3358.00,0.380000,0.381000,21.98140000
"TOI-5624 b","TOI-5624","Transit",2026,3.39034730000,0.0420100000,0.02957571,0.20644161,1136.00,5327.00,0.820000,0.858000,101.91300000
"TOI-5624 c","TOI-5624","Transit",2026,7.88538500000,0.0737400000,0.01510249,0.22071588,857.00,5327.00,0.820000,0.858000,101.91300000
"TOI-5624 d","TOI-5624","Transit",2026,13.73146800000,0.1067000000,0.01541712,0.31974361,712.60,5327.00,0.820000,0.858000,101.91300000
"TOI-5624 e","TOI-5624","Transit",2026,21.48993600000,0.1439000000,0.02800253,0.28967844,613.80,5327.00,0.820000,0.858000,101.91300000
"TOI-5624 f","TOI-5624","Transit Timing Variations",2026,45.37000000000,0.2366000000,0.04090257,,478.50,5327.00,0.820000,0.858000,101.91300000
"kap And b","kap And","Imaging",2012,,,17.30000000,1.42000000,1791.00,11327.00,2.109000,2.768000,50.01770000
"Proxima Cen d","Proxima Cen","Radial Velocity",2025,5.12338000000,0.0288100000,0.00081805,,282.00,2900.00,0.141000,0.122100,1.30119000
"Proxima Cen b","Proxima Cen","Radial Velocity",2016,11.18465000000,0.0484800000,0.00331940,,218.00,2900.00,0.141000,0.122100,1.30119000
"WASP-121 b","WASP-121","Transit",2016,1.27492504000,0.0257100000,1.17000000,1.74200000,2409.00,6628.00,1.461000,1.330000,269.89800000
"WASP-21 b","WASP-21","Transit",2010,4.32248200000,0.0520000000,0.30000000,1.07000000,,,,,258.42600000
"HAT-P-23 b","HAT-P-23","Transit",2010,1.21288400000,0.0232000000,2.09000000,1.36800000,2056.00,5905.00,1.203000,1.130000,364.81300000
"WASP-10 b","WASP-10","Transit",2008,3.09276160000,0.0378100000,3.15000000,1.08000000,1370.00,4675.00,0.698000,0.750000,140.99800000
"HAT-P-8 b","HAT-P-8","Transit",2008,3.07634000000,,1.28000000,1.40000000,,6200.00,1.570000,1.270000,211.55300000
"LHS 1903 d","LHS 1903","Transit",2026,12.56628700000,0.0860400000,0.01875226,0.22303545,442.00,3664.00,0.539000,0.538000,35.69170000
"TOI-375 b","TOI-375","Transit",2026,9.45469000000,0.0990000000,0.74500000,0.96100000,1373.00,5259.90,2.900000,1.441000,396.21300000
"KELT-14 b","KELT-14","Transit",2016,1.71005660000,0.0300500000,1.28400000,1.74300000,1970.00,5720.00,1.520000,1.239000,250.12100000
"KELT-16 b","KELT-16","Transit",2017,0.96899510000,0.0204400000,2.75000000,1.41500000,2453.00,6236.00,1.360000,1.211000,444.58600000
"KELT-9 b","KELT-9","Transit",2017,1.48112350000,0.0346200000,2.88000000,1.89100000,4050.00,10170.00,2.362000,2.520000,204.45500000
"TOI-1232 b","TOI-1232","Transit",2026,14.25600000000,0.1170000000,0.69400000,0.97500000,,5823.00,1.072000,1.058000,328.60400000
"TOI-1232 c","TOI-1232","Transit Timing Variations",2026,30.35600000000,0.1940000000,0.18400000,,,5823.00,1.072000,1.058000,328.60400000
"TOI-198 b","TOI-198","Transit",2023,10.21521300000,0.0675000000,0.00997394,0.12133128,456.00,3801.00,0.418000,0.417000,23.72620000
